epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58604,5.60032,4.49415,4.16339,0,0,0,0,5.61346,4.32157,4.15594,0.0001125,0.0001125,0.0001125
2,4.06144,5.50278,4.39689,4.11062,0,0,0,0,5.60791,4.31014,4.14322,0.000232798,0.000232798,0.000232798
3,5.65898,5.47286,4.28852,4.05374,0,0,0,0,5.59608,4.28304,4.11689,0.000348145,0.000348145,0.000348145
4,7.09498,5.44092,4.20321,3.95901,0,0,0,0,5.56394,4.22671,4.05077,0.000458542,0.000458542,0.000458542
5,8.68919,5.3675,4.08217,3.81677,0,0,0,0,5.50928,4.15687,3.96356,0.00056399,0.00056399,0.00056399
6,10.1168,5.16151,3.80868,3.50383,0,0,0,0,5.49485,4.11758,3.94582,0.000664488,0.000664488,0.000664488
7,11.6769,4.68336,3.39293,3.3287,0,0,0,0,5.58543,4.15292,4.08754,0.000760035,0.000760035,0.000760035
8,13.0886,4.46639,3.33797,3.24243,0,0,0,0,5.68477,4.29377,4.30068,0.000850632,0.000850632,0.000850632
9,14.6513,4.53014,3.41564,3.26874,0,0,0,0,5.69924,4.36982,4.36271,0.00093628,0.00093628,0.00093628
10,16.0601,4.5293,3.28903,3.08851,0,0,0,0,5.75702,4.5278,4.51087,0.00101698,0.00101698,0.00101698
11,17.6909,4.32273,3.16592,2.94496,0,0,0,0,5.77922,4.60568,4.56475,0.0010025,0.0010025,0.0010025
12,19.2603,4.18362,3.21077,2.93054,0,0,0,0,5.84845,4.63611,4.58412,0.00097775,0.00097775,0.00097775
13,20.6895,4.19585,3.05151,2.75305,0.00126,0.00583,0.00083,0.00023,5.68803,4.35245,4.29249,0.000953,0.000953,0.000953
14,22.3295,4.15175,2.97172,2.68454,0.51774,0.01166,0.00264,0.00052,5.10558,3.99069,3.62974,0.00092825,0.00092825,0.00092825
15,23.9492,4.12203,3.0192,2.6743,0.50582,0.0102,0.00181,0.00048,4.33468,4.97433,3.05278,0.0009035,0.0009035,0.0009035
16,25.3319,4.0361,2.89902,2.56253,0.50492,0.01603,0.00268,0.00065,4.02222,4.12272,2.861,0.00087875,0.00087875,0.00087875
17,26.6962,3.9897,2.84683,2.56915,0.25529,0.02187,0.00232,0.00043,3.93592,3.24663,2.80814,0.000854,0.000854,0.000854
18,28.2207,3.91274,2.78595,2.52845,0.26584,0.06278,0.01134,0.00329,3.61926,3.38976,2.58894,0.00082925,0.00082925,0.00082925
19,29.8714,3.97931,2.72044,2.46411,0.27087,0.03459,0.00856,0.00249,3.62648,3.3556,2.53944,0.0008045,0.0008045,0.0008045
20,31.432,3.93373,2.83689,2.51096,0.5106,0.03571,0.00825,0.00154,3.7152,4.15484,2.44359,0.00077975,0.00077975,0.00077975
21,32.9067,3.93266,2.66555,2.40711,0.26224,0.04738,0.006,0.00097,3.51734,3.86738,2.42979,0.000755,0.000755,0.000755
22,34.4224,3.93174,2.67807,2.45191,0.51201,0.06341,0.00696,0.00128,3.50771,3.20096,2.42814,0.00073025,0.00073025,0.00073025
23,36.1995,3.86905,2.60873,2.4542,0.26096,0.07509,0.01951,0.00452,3.86142,2.90386,2.57864,0.0007055,0.0007055,0.0007055
24,38.2047,3.86004,2.67105,2.46793,0.02981,0.049,0.01771,0.00386,3.88042,3.28259,2.45781,0.00068075,0.00068075,0.00068075
25,39.8504,3.7933,2.56853,2.31688,0.02295,0.06206,0.01352,0.00438,3.72506,2.90885,2.42482,0.000656,0.000656,0.000656
26,41.2492,3.7438,2.5301,2.31448,0.01586,0.04899,0.00943,0.0027,3.70995,2.9116,2.50472,0.00063125,0.00063125,0.00063125
27,42.7005,3.79177,2.57279,2.3683,0.00656,0.03374,0.0038,0.00094,4.16581,2.79199,2.7506,0.0006065,0.0006065,0.0006065
28,44.3602,3.70784,2.50573,2.32058,0.04059,0.19252,0.02735,0.00753,3.44911,2.92449,2.32309,0.00058175,0.00058175,0.00058175
29,45.8768,3.81949,2.53678,2.35993,0.02438,0.08252,0.01396,0.00365,3.49759,2.82851,2.42087,0.000557,0.000557,0.000557
30,47.5848,3.71898,2.48522,2.30162,0.02285,0.0573,0.01322,0.00389,3.49633,2.76327,2.3386,0.00053225,0.00053225,0.00053225
31,49.2426,3.80734,2.4437,2.32239,0.01966,0.06973,0.01185,0.00344,3.65925,2.72811,2.3528,0.0005075,0.0005075,0.0005075
32,50.7301,3.67711,2.40312,2.20423,0.01756,0.09588,0.0121,0.00339,3.67317,2.68651,2.34367,0.00048275,0.00048275,0.00048275
33,52.2581,3.70945,2.43988,2.24075,0.01415,0.0669,0.00883,0.0024,3.70964,2.62439,2.37204,0.000458,0.000458,0.000458
34,53.9694,3.71762,2.42035,2.2399,0.0231,0.08475,0.01602,0.00485,3.45969,2.73542,2.19717,0.00043325,0.00043325,0.00043325
35,55.3982,3.62496,2.45504,2.29412,0.02953,0.12076,0.02734,0.00677,3.75609,2.67,2.33662,0.0004085,0.0004085,0.0004085
36,57.0607,3.70634,2.37871,2.29745,0.02929,0.09984,0.02471,0.00571,3.76196,2.74059,2.38394,0.00038375,0.00038375,0.00038375
37,58.5329,3.64808,2.34452,2.22752,0.03943,0.14719,0.03188,0.00969,3.4451,2.70306,2.22454,0.000359,0.000359,0.000359
38,60.0213,3.68477,2.40196,2.20959,0.03397,0.13763,0.02757,0.00836,3.42747,2.74579,2.17471,0.00033425,0.00033425,0.00033425
39,61.5062,3.70679,2.35105,2.18832,0.03309,0.13545,0.02869,0.00869,3.39859,2.67138,2.21821,0.0003095,0.0003095,0.0003095
40,62.9405,3.61748,2.38364,2.27574,0.0292,0.11827,0.02182,0.00593,3.89285,2.67447,2.33448,0.00028475,0.00028475,0.00028475
41,81.7611,3.60038,2.47231,2.29266,0.03233,0.11995,0.02058,0.00478,3.87855,2.7058,2.32505,0.00026,0.00026,0.00026
42,83.2078,3.5299,2.46488,2.31062,0.03697,0.15444,0.02749,0.00706,3.58041,2.7134,2.23562,0.00023525,0.00023525,0.00023525
43,84.5741,3.49631,2.45571,2.23222,0.03905,0.17399,0.03335,0.00819,3.46247,2.69325,2.20065,0.0002105,0.0002105,0.0002105
44,85.9142,3.48227,2.43049,2.25409,0.03582,0.19355,0.029,0.00834,3.44828,2.66415,2.2481,0.00018575,0.00018575,0.00018575
45,87.2438,3.51856,2.37793,2.26845,0.0327,0.18036,0.02102,0.00625,3.43844,2.66112,2.26248,0.000161,0.000161,0.000161
46,88.6483,3.40389,2.45967,2.35595,0.041,0.16925,0.02614,0.00777,3.39207,2.71068,2.27427,0.00013625,0.00013625,0.00013625
