epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77778,3.49938,4.28537,2.36041,0,0,0,0,2.61973,4.19772,1.86655,0.0001125,0.0001125,0.0001125
2,4.31535,3.13391,3.92635,1.8338,0.01025,0.02377,0.0088,0.00266,2.58607,3.95187,1.64836,0.000232798,0.000232798,0.000232798
3,5.77047,3.00919,3.27114,1.64254,0.03902,0.28528,0.06512,0.02253,2.52646,3.76289,1.63274,0.000348145,0.000348145,0.000348145
4,7.02832,2.90079,2.83958,1.59999,0.03448,0.2665,0.09177,0.03153,2.70248,3.67253,1.81354,0.000458542,0.000458542,0.000458542
5,8.58386,2.95724,2.49662,1.56745,0.3145,0.14862,0.03914,0.01515,2.85798,3.74801,1.95681,0.00056399,0.00056399,0.00056399
6,10.0216,2.898,2.48308,1.60396,0.75381,0.13716,0.20817,0.09928,2.49197,3.36901,1.60433,0.000664488,0.000664488,0.000664488
7,11.2978,2.91764,2.32543,1.58474,0.72546,0.16276,0.17942,0.07736,2.33647,3.10797,1.5451,0.000760035,0.000760035,0.000760035
8,12.5135,2.79552,2.24808,1.6142,0.60807,0.12381,0.10781,0.04636,2.3525,2.81143,1.56441,0.000850632,0.000850632,0.000850632
9,13.6914,2.73462,2.18758,1.56033,0.18366,0.19102,0.14037,0.05619,2.2689,2.7077,1.54002,0.00093628,0.00093628,0.00093628
10,14.908,2.76487,2.24187,1.57832,0.19791,0.1735,0.13702,0.04742,2.61458,2.65202,1.6877,0.00101698,0.00101698,0.00101698
11,16.1803,2.81017,2.1026,1.5525,0.27761,0.37347,0.21723,0.09175,2.32641,2.37613,1.50719,0.0010025,0.0010025,0.0010025
12,17.5862,2.643,1.92922,1.52044,0.30146,0.4134,0.31714,0.14064,2.31019,2.28553,1.5469,0.00097775,0.00097775,0.00097775
13,18.8294,2.68973,2.06319,1.57309,0.18027,0.35494,0.17397,0.07312,2.45935,2.58874,1.64326,0.000953,0.000953,0.000953
14,20.3537,2.76645,1.95819,1.56677,0.13971,0.35817,0.14827,0.05377,2.48613,2.74753,1.61666,0.00092825,0.00092825,0.00092825
15,21.6424,2.66322,1.87851,1.57296,0.12401,0.26855,0.09469,0.03309,2.51264,2.65813,1.61546,0.0009035,0.0009035,0.0009035
16,22.8457,2.62635,1.85488,1.49888,0.2591,0.33221,0.18929,0.07427,2.49183,2.49028,1.65928,0.00087875,0.00087875,0.00087875
17,24.0526,2.62464,1.88919,1.56281,0.27918,0.30203,0.27502,0.12291,2.24844,2.15027,1.52324,0.000854,0.000854,0.000854
18,25.3154,2.60232,1.80059,1.51199,0.32728,0.32192,0.26395,0.11514,2.31364,2.12564,1.57175,0.00082925,0.00082925,0.00082925
19,26.6019,2.53056,1.77657,1.51386,0.45631,0.39303,0.35395,0.15715,2.25134,2.02607,1.53473,0.0008045,0.0008045,0.0008045
20,28.0685,2.48517,1.75061,1.48044,0.39471,0.32791,0.33204,0.1391,2.37673,2.12822,1.54111,0.00077975,0.00077975,0.00077975
21,29.5368,2.55364,1.73228,1.49674,0.26877,0.40459,0.30803,0.12056,2.4435,2.1741,1.55692,0.000755,0.000755,0.000755
22,30.7197,2.46062,1.79691,1.53926,0.25002,0.43475,0.29932,0.12199,2.3326,2.1228,1.51389,0.00073025,0.00073025,0.00073025
23,31.9402,2.43179,1.6879,1.49736,0.21986,0.39873,0.27212,0.11815,2.24803,2.16113,1.46702,0.0007055,0.0007055,0.0007055
24,33.1501,2.45942,1.66543,1.49074,0.25994,0.45811,0.27288,0.12693,2.28913,2.22409,1.52052,0.00068075,0.00068075,0.00068075
25,34.3635,2.41166,1.55235,1.42322,0.35199,0.51347,0.45495,0.19674,2.3571,2.08364,1.5559,0.000656,0.000656,0.000656
26,35.6148,2.47745,1.6261,1.46606,0.31031,0.42102,0.27486,0.10933,2.40228,2.15818,1.60051,0.00063125,0.00063125,0.00063125
27,36.8079,2.41127,1.57623,1.46519,0.43651,0.44013,0.39685,0.17095,2.34476,1.99519,1.59038,0.0006065,0.0006065,0.0006065
28,38.0328,2.3996,1.52415,1.43583,0.38294,0.49408,0.39486,0.16669,2.37605,2.04262,1.56533,0.00058175,0.00058175,0.00058175
29,39.2597,2.39509,1.59321,1.39851,0.42961,0.54284,0.42206,0.1841,2.23759,1.96453,1.52235,0.000557,0.000557,0.000557
30,40.5608,2.27422,1.437,1.40474,0.3054,0.43634,0.32536,0.12559,2.21019,2.10709,1.49318,0.00053225,0.00053225,0.00053225
31,41.8955,2.22372,1.43785,1.40063,0.31129,0.49429,0.30476,0.12222,2.17472,2.15791,1.47696,0.0005075,0.0005075,0.0005075
32,43.1643,2.25309,1.43349,1.39094,0.36275,0.49764,0.33737,0.14303,2.18679,2.09783,1.48378,0.00048275,0.00048275,0.00048275
