epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66713,5.62328,4.51329,4.20536,0,0,0,0,5.61379,4.32099,4.16194,0.0001125,0.0001125,0.0001125
2,4.16918,5.45725,4.39791,4.14424,0,0,0,0,5.61097,4.30355,4.15458,0.000232798,0.000232798,0.000232798
3,5.5987,5.41735,4.29393,4.07677,0,0,0,0,5.60039,4.268,4.12992,0.000348145,0.000348145,0.000348145
4,6.84569,5.362,4.04817,3.91916,0,0,0,0,5.5697,4.20379,4.0686,0.000458542,0.000458542,0.000458542
5,8.41446,5.1502,3.8963,3.74102,0,0,0,0,5.51827,4.11864,3.9765,0.00056399,0.00056399,0.00056399
6,9.86378,4.85462,3.48828,3.57622,0,0,0,0,5.518,4.11858,3.97499,0.000664488,0.000664488,0.000664488
7,11.1002,4.78614,3.41273,3.48018,0,0,0,0,5.57915,4.24408,4.08398,0.000760035,0.000760035,0.000760035
8,12.3004,4.43076,3.18801,3.38404,0,0,0,0,5.14482,3.80879,3.53452,0.000850632,0.000850632,0.000850632
9,13.5102,4.2749,3.17966,3.22971,0.00051,0.00248,0.00026,3e-05,5.29662,4.04143,3.63804,0.00093628,0.00093628,0.00093628
10,14.6962,4.52239,3.09575,3.12475,0.00052,0.00397,0.00027,6e-05,5.43952,4.12444,3.74441,0.00101698,0.00101698,0.00101698
11,15.9131,4.30168,2.96297,3.0176,0,0,0,0,5.45893,4.13253,3.7825,0.0010025,0.0010025,0.0010025
12,17.2586,4.30276,2.85145,2.97136,0,0,0,0,5.42247,4.07668,3.72643,0.00097775,0.00097775,0.00097775
13,18.4479,4.09746,2.89641,2.87684,0.00027,0.00219,0.00014,1e-05,5.11561,3.67602,3.4491,0.000953,0.000953,0.000953
14,19.9074,4.12185,2.81802,2.77606,0.26027,0.03309,0.00449,0.00118,4.6055,3.20605,3.24442,0.00092825,0.00092825,0.00092825
15,21.13,4.07586,2.70534,2.73721,0.50834,0.03668,0.0049,0.00159,4.28469,3.0528,3.07975,0.0009035,0.0009035,0.0009035
16,22.3699,4.12634,2.7117,2.6374,0.76166,0.02703,0.00373,0.00135,3.74656,3.23473,2.76337,0.00087875,0.00087875,0.00087875
17,23.6102,4.0389,2.69385,2.70992,0.76422,0.02606,0.00559,0.00183,3.68477,2.96022,2.68609,0.000854,0.000854,0.000854
18,24.9071,4.04089,2.65557,2.61521,0.26591,0.07848,0.01557,0.00384,3.7108,2.77753,2.63962,0.00082925,0.00082925,0.00082925
19,26.2053,4.0241,2.67865,2.66628,0.00597,0.03041,0.00342,0.00082,4.37701,2.86935,2.99675,0.0008045,0.0008045,0.0008045
20,27.6872,4.00743,2.70106,2.64479,0.013,0.07041,0.00824,0.00254,3.85462,2.76336,2.82264,0.00077975,0.00077975,0.00077975
21,29.1909,3.99575,2.58109,2.55116,0.01338,0.05672,0.00863,0.00284,3.57802,2.77931,2.7551,0.000755,0.000755,0.000755
22,30.4525,3.9041,2.64866,2.56625,0.25844,0.06006,0.01101,0.00244,3.52143,3.31458,2.50855,0.00073025,0.00073025,0.00073025
23,31.7087,3.88552,2.55943,2.50325,0.01383,0.09595,0.01017,0.00272,3.49755,2.9097,2.49879,0.0007055,0.0007055,0.0007055
24,32.9702,3.86179,2.54984,2.51851,0.02061,0.09512,0.01359,0.00304,3.78888,2.69714,2.54124,0.00068075,0.00068075,0.00068075
25,34.2655,3.87858,2.44224,2.38414,0.03053,0.10604,0.0203,0.0048,3.48506,2.89408,2.38634,0.000656,0.000656,0.000656
26,35.6082,3.80737,2.42707,2.38583,0.01942,0.06897,0.0111,0.00301,3.70953,2.72658,2.48019,0.00063125,0.00063125,0.00063125
27,36.868,3.85984,2.41528,2.44346,0.01374,0.04701,0.00747,0.0017,3.95647,2.65084,2.60905,0.0006065,0.0006065,0.0006065
28,38.194,3.90009,2.41622,2.39261,0.02382,0.09605,0.01524,0.00399,3.7765,2.69058,2.46918,0.00058175,0.00058175,0.00058175
29,39.4572,3.81843,2.42626,2.28666,0.01325,0.05934,0.00856,0.00223,3.6543,2.62163,2.43274,0.000557,0.000557,0.000557
30,40.8295,3.74345,2.37991,2.32808,0.26774,0.05579,0.00913,0.00225,3.76907,2.59635,2.47442,0.00053225,0.00053225,0.00053225
31,42.2347,3.71881,2.40741,2.32549,0.01101,0.04906,0.0066,0.00166,4.02034,2.64904,2.56071,0.0005075,0.0005075,0.0005075
32,43.5397,3.68515,2.35728,2.2836,0.02311,0.09023,0.01492,0.00386,3.70718,2.61733,2.34664,0.00048275,0.00048275,0.00048275
33,44.825,3.80489,2.36053,2.26483,0.04448,0.19596,0.03006,0.00819,3.56189,2.77699,2.3317,0.000458,0.000458,0.000458
34,46.1408,3.78683,2.36964,2.30724,0.0169,0.06018,0.01019,0.00284,3.75321,2.54419,2.52729,0.00043325,0.00043325,0.00043325
35,47.6926,3.78683,2.30303,2.30029,0.01551,0.03456,0.0096,0.00253,3.79465,2.51031,2.5309,0.0004085,0.0004085,0.0004085
36,49.2186,3.65095,2.31508,2.30701,0.00973,0.02763,0.00645,0.00206,3.64103,2.62661,2.4171,0.00038375,0.00038375,0.00038375
37,50.4514,3.67142,2.27896,2.24962,0.01309,0.05775,0.00779,0.00236,3.64619,2.64122,2.38748,0.000359,0.000359,0.000359
38,51.7119,3.72761,2.26787,2.24726,0.01293,0.06039,0.00836,0.00244,3.69902,2.63179,2.37569,0.00033425,0.00033425,0.00033425
39,53.224,3.70738,2.33204,2.30317,0.01972,0.09663,0.01225,0.00279,3.62645,2.6406,2.3395,0.0003095,0.0003095,0.0003095
40,54.6215,3.71348,2.31613,2.27222,0.01441,0.06535,0.01005,0.00286,3.81033,2.57905,2.41115,0.00028475,0.00028475,0.00028475
41,89.4217,3.62996,2.42158,2.32292,0.01908,0.08815,0.0138,0.00377,3.59373,2.60081,2.33126,0.00026,0.00026,0.00026
42,90.6295,3.56386,2.43079,2.29618,0.02038,0.09375,0.01463,0.00405,3.50602,2.63246,2.27128,0.00023525,0.00023525,0.00023525
43,91.808,3.56656,2.39319,2.34466,0.02471,0.11296,0.01723,0.00523,3.46757,2.64313,2.23042,0.0002105,0.0002105,0.0002105
44,93.0078,3.57696,2.34534,2.26917,0.04227,0.21433,0.03008,0.00884,3.36139,2.7328,2.16245,0.00018575,0.00018575,0.00018575
45,94.2793,3.55611,2.35499,2.22286,0.03988,0.22148,0.03021,0.00847,3.35832,2.7605,2.16369,0.000161,0.000161,0.000161
46,95.504,3.60716,2.33552,2.31483,0.0404,0.21816,0.03145,0.00835,3.39208,2.71814,2.20749,0.00013625,0.00013625,0.00013625
47,96.7579,3.57617,2.31368,2.26489,0.03808,0.20582,0.02785,0.00701,3.41277,2.69603,2.22502,0.0001115,0.0001115,0.0001115
48,97.9474,3.46577,2.37661,2.29462,0.03889,0.21048,0.02819,0.00681,3.40336,2.67764,2.21989,8.675e-05,8.675e-05,8.675e-05
49,99.1635,3.56543,2.38551,2.32299,0.03804,0.21192,0.02775,0.00675,3.37526,2.68915,2.19793,6.2e-05,6.2e-05,6.2e-05
50,100.379,3.51394,2.32892,2.26366,0.0399,0.21508,0.02858,0.00709,3.34973,2.66967,2.18016,3.725e-05,3.725e-05,3.725e-05
1,12.5401,5.52849,4.45133,4.19718,0,0,0,0,5.61358,4.32385,4.1611,5e-05,5e-05,5e-05
2,15.975,5.49074,4.45899,4.19385,0,0,0,0,5.61391,4.32058,4.16124,0.000111943,0.000111943,0.000111943
3,17.5122,5.36941,4.36627,4.1343,0,0,0,0,5.6112,4.31175,4.15716,0.000173268,0.000173268,0.000173268
4,18.9953,5.52199,4.30847,4.09019,0,0,0,0,5.60775,4.29601,4.14787,0.000233973,0.000233973,0.000233973
5,27.6469,5.32869,4.09161,3.97873,0,0,0,0,5.5967,4.27136,4.12698,0.00029406,0.00029406,0.00029406
6,29.1929,5.10666,3.99723,3.91638,0,0,0,0,5.58163,4.23521,4.09337,0.000353528,0.000353528,0.000353528
7,30.7074,5.00659,3.68676,3.75327,0,0,0,0,5.55225,4.18742,4.04597,0.000412377,0.000412377,0.000412377
8,32.1881,4.77842,3.57011,3.6438,0,0,0,0,5.53694,4.16342,4.01845,0.000470608,0.000470608,0.000470608
9,33.7207,4.73877,3.35464,3.44589,0,0,0,0,5.49407,4.1307,3.96374,0.00052822,0.00052822,0.00052822
10,35.1501,4.48014,3.19425,3.3677,0,0,0,0,5.39222,4.03513,3.81791,0.000585213,0.000585213,0.000585213
11,36.607,4.40378,3.05133,3.22601,0,0,0,0,5.38498,4.03312,3.80017,0.000641587,0.000641587,0.000641587
12,38.0965,4.31695,3.00898,3.16442,0,0,0,0,5.27504,3.94686,3.648,0.000697343,0.000697343,0.000697343
13,39.5614,4.23701,3.07237,3.11921,0,0,0,0,5.16838,3.87115,3.52097,0.00075248,0.00075248,0.00075248
14,44.2882,4.34488,2.93778,3.01175,0,0,0,0,5.16189,3.89645,3.50418,0.000806998,0.000806998,0.000806998
15,46.2774,4.2203,2.92037,3.01234,0,0,0,0,4.81131,3.68934,3.22476,0.000860897,0.000860897,0.000860897
16,47.85,4.17811,2.99895,3.00178,0.00186,0.00694,0.00097,0.00023,5.00678,3.89122,3.34343,0.000914178,0.000914178,0.000914178
17,49.329,4.19798,2.88178,2.89562,0,0,0,0,5.34953,4.09637,3.76484,0.00096684,0.00096684,0.00096684
18,50.7812,4.17128,2.77029,2.80132,0,0,0,0,5.72446,4.42009,4.36545,0.00101888,0.00101888,0.00101888
19,52.1685,4.04012,2.81828,2.91781,0,0,0,0,5.61187,4.65509,4.26154,0.00107031,0.00107031,0.00107031
20,53.6527,4.1216,2.8175,2.82143,0.0007,0.00149,0.00036,0.0001,5.30719,4.15147,3.60426,0.00112111,0.00112111,0.00112111
21,55.1142,4.15306,2.71402,2.7526,0,0,0,0,5.73099,4.40719,4.21171,0.00112625,0.00112625,0.00112625
22,56.7376,4.07675,2.65285,2.70506,0.00174,0.00198,0.00095,0.00017,5.50821,9.33759,4.20782,0.00112006,0.00112006,0.00112006
23,58.3562,4.00194,2.73292,2.63467,0,0,0,0,5.30578,9.23987,3.89353,0.00111388,0.00111388,0.00111388
24,59.9387,4.07583,2.62332,2.59325,0.00689,0.00913,0.00376,0.00124,4.22294,3.69076,2.97636,0.00110769,0.00110769,0.00110769
25,61.5182,4.05571,2.58678,2.56292,0.75668,0.01312,0.00559,0.001,3.63776,4.01261,2.48169,0.0011015,0.0011015,0.0011015
26,64.4119,3.95406,2.50912,2.47798,0.01383,0.05726,0.00831,0.00255,3.63212,3.5438,2.66832,0.00109531,0.00109531,0.00109531
27,66.1581,3.90235,2.5176,2.46014,0.014,0.04879,0.00817,0.00211,3.82051,3.57586,2.66362,0.00108913,0.00108913,0.00108913
28,68.5159,3.83841,2.47422,2.45009,0.01513,0.06256,0.00869,0.00238,3.53283,3.16934,2.45069,0.00108294,0.00108294,0.00108294
29,70.4899,3.93408,2.51766,2.40555,0.02226,0.07499,0.01463,0.00343,3.721,4.06756,2.5156,0.00107675,0.00107675,0.00107675
30,72.1772,3.82595,2.40537,2.36993,0.0231,0.03143,0.01075,0.00254,3.76471,3.19854,2.45656,0.00107056,0.00107056,0.00107056
31,76.519,3.86664,2.42936,2.35264,0.02477,0.09061,0.01415,0.00352,3.50269,3.14301,2.30082,0.00106437,0.00106437,0.00106437
32,78.5073,3.82913,2.37975,2.2323,0.25552,0.11951,0.00327,0.0008,3.63409,7.83649,2.29416,0.00105819,0.00105819,0.00105819
33,80.2846,3.78828,2.36936,2.26401,0.5141,0.11677,0.00834,0.00183,3.53942,8.72876,2.18353,0.001052,0.001052,0.001052
34,82.1779,3.7933,2.39068,2.23608,0.28201,0.11904,0.01,0.00184,3.63554,5.36431,2.22866,0.00104581,0.00104581,0.00104581
35,84.0136,3.73815,2.43098,2.28316,0.00874,0.03175,0.00471,0.00072,3.93767,4.0161,2.43086,0.00103962,0.00103962,0.00103962
36,85.941,3.72598,2.36273,2.24845,0.77107,0.05696,0.0117,0.00273,3.71638,4.36846,2.27557,0.00103344,0.00103344,0.00103344
37,87.5071,3.69663,2.40599,2.27179,0.76682,0.0538,0.01698,0.00431,3.73986,3.68407,2.25704,0.00102725,0.00102725,0.00102725
38,89.0762,3.71993,2.42362,2.32243,0.27598,0.18749,0.03165,0.00897,3.89628,2.88946,2.42281,0.00102106,0.00102106,0.00102106
39,91.7362,3.71287,2.36544,2.23745,0.01706,0.08176,0.00987,0.00231,4.06216,2.87215,2.53813,0.00101488,0.00101488,0.00101488
40,93.9484,3.64544,2.36962,2.23334,0.00369,0.027,0.00202,0.00049,4.08615,3.29682,2.65758,0.00100869,0.00100869,0.00100869
41,95.7243,3.70992,2.43599,2.17223,0.25608,0.0326,0.00308,0.00078,3.99967,3.53949,2.54214,0.0010025,0.0010025,0.0010025
42,111.467,3.75479,2.33799,2.15085,0.02249,0.08426,0.01369,0.00335,3.67306,3.15329,2.49305,0.000996313,0.000996313,0.000996313
43,122.048,3.62349,2.27014,2.08699,0.01735,0.08185,0.01079,0.00301,3.64799,3.31041,2.45694,0.000990125,0.000990125,0.000990125
44,129.985,3.63442,2.32824,2.16398,0.01815,0.06567,0.0113,0.00338,3.63418,3.40988,2.34627,0.000983938,0.000983938,0.000983938
45,133.111,3.63905,2.25786,2.09451,0.02652,0.03663,0.01615,0.00501,3.77325,3.87782,2.65287,0.00097775,0.00097775,0.00097775
46,134.799,3.60368,2.28032,2.07251,0.00884,0.04396,0.00364,0.00076,4.06364,3.83499,2.69312,0.000971562,0.000971562,0.000971562
47,136.372,3.60341,2.35739,2.16004,0.02031,0.10848,0.01261,0.00303,4.22819,3.12452,2.57559,0.000965375,0.000965375,0.000965375
48,137.943,3.60594,2.35542,2.14663,0.0377,0.1573,0.0212,0.00548,3.22278,2.7786,2.23071,0.000959187,0.000959187,0.000959187
49,139.496,3.55809,2.32228,2.08736,0.02372,0.0325,0.00933,0.00277,3.38881,2.90266,2.3586,0.000953,0.000953,0.000953
50,141.045,3.55017,2.24226,2.08544,0.01712,0.05734,0.01038,0.00418,3.77774,2.86931,2.44118,0.000946812,0.000946812,0.000946812
51,142.677,3.66231,2.35498,2.16858,0.01006,0.10533,0.00687,0.00198,3.60244,2.90945,2.4385,0.000940625,0.000940625,0.000940625
52,145.39,3.51826,2.26547,2.02396,0.01396,0.10289,0.00846,0.00203,3.35005,3.02411,2.38878,0.000934438,0.000934438,0.000934438
53,146.934,3.58163,2.21277,2.09269,0.02988,0.1555,0.02074,0.00511,3.51281,2.98945,2.3156,0.00092825,0.00092825,0.00092825
54,148.481,3.56564,2.27368,2.06492,0.03635,0.15434,0.02487,0.00652,3.69603,3.01377,2.36969,0.000922063,0.000922063,0.000922063
55,150.024,3.45883,2.29004,2.05724,0.01845,0.0595,0.01001,0.00261,4.1404,2.92854,2.54948,0.000915875,0.000915875,0.000915875
56,155.813,3.47703,2.22042,2.05199,0.27591,0.04285,0.0138,0.00353,3.38249,2.9365,2.20939,0.000909688,0.000909688,0.000909688
57,157.604,3.50003,2.2399,1.93704,0.02707,0.18735,0.02011,0.00463,3.39313,2.88882,2.24757,0.0009035,0.0009035,0.0009035
58,159.195,3.40925,2.32847,2.02298,0.31339,0.20541,0.03697,0.01002,3.54122,2.88988,2.32654,0.000897313,0.000897313,0.000897313
59,161.683,3.42345,2.27192,2.00104,0.2811,0.1948,0.02844,0.00818,3.66187,2.83532,2.30289,0.000891125,0.000891125,0.000891125
60,163.243,3.43117,2.27921,1.96973,0.28617,0.19675,0.03005,0.00813,3.77432,2.75536,2.33404,0.000884938,0.000884938,0.000884938
61,164.773,3.4258,2.21599,1.98985,0.03195,0.19002,0.02573,0.00693,3.33764,2.79962,2.15552,0.00087875,0.00087875,0.00087875
62,168.348,3.45248,2.18533,1.93884,0.03641,0.15305,0.02585,0.00714,3.35613,2.9005,2.16552,0.000872563,0.000872563,0.000872563
63,170.135,3.3806,2.14092,1.94904,0.12377,0.14987,0.07921,0.02056,3.37341,2.72443,2.20406,0.000866375,0.000866375,0.000866375
64,171.768,3.38832,2.20399,1.95504,0.52909,0.05707,0.01612,0.00471,3.43853,2.84591,2.2466,0.000860188,0.000860188,0.000860188
65,173.444,3.34077,2.14863,1.92193,0.08359,0.178,0.07774,0.01851,3.32964,2.7504,2.15272,0.000854,0.000854,0.000854
66,174.978,3.31167,2.16901,1.96302,0.04908,0.19506,0.05533,0.01276,3.77006,2.6801,2.288,0.000847813,0.000847813,0.000847813
67,176.5,3.31932,2.17966,1.9445,0.04805,0.2267,0.0547,0.0129,3.17217,2.68382,2.09687,0.000841625,0.000841625,0.000841625
68,178.023,3.26974,2.14568,1.94745,0.05912,0.26864,0.05346,0.01319,3.38943,2.63438,2.21592,0.000835438,0.000835438,0.000835438
69,179.679,3.42529,2.04417,1.88873,0.06008,0.23379,0.05123,0.01323,3.18309,2.69235,2.12008,0.00082925,0.00082925,0.00082925
70,181.239,3.27439,2.14361,1.9372,0.03303,0.14163,0.02455,0.00697,3.35865,2.82975,2.15526,0.000823063,0.000823063,0.000823063
71,182.738,3.31122,2.09821,1.93935,0.03883,0.16085,0.02892,0.00779,3.37686,2.85485,2.17476,0.000816875,0.000816875,0.000816875
72,184.329,3.23087,2.11846,1.89167,0.04324,0.16012,0.03348,0.00872,3.24625,2.71427,2.11327,0.000810688,0.000810688,0.000810688
73,185.907,3.28394,2.10571,1.88224,0.03833,0.20397,0.0284,0.00669,3.19383,2.72482,2.11346,0.0008045,0.0008045,0.0008045
74,187.409,3.25054,2.20307,1.9407,0.06423,0.27804,0.08292,0.02058,3.12949,2.69538,2.0937,0.000798313,0.000798313,0.000798313
75,189.029,3.21621,2.1582,1.89351,0.04318,0.23589,0.0392,0.00929,3.04188,2.68961,2.02471,0.000792125,0.000792125,0.000792125
