epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4455,5.40049,4.47269,4.15651,0,0,0,0,5.61264,4.40156,4.15568,0.0001125,0.0001125,0.0001125
2,134.251,5.34977,4.34023,4.10417,0,0,0,0,5.60627,4.38492,4.14162,0.000234561,0.000234561,0.000234561
3,203.282,5.43183,4.28019,4.03012,0,0,0,0,5.59001,4.34923,4.10489,0.000353528,0.000353528,0.000353528
4,271.841,5.23189,4.13911,3.90176,0,0,0,0,5.55024,4.28545,4.02512,0.000469402,0.000469402,0.000469402
5,338.929,5.2801,4.00841,3.8166,0,0,0,0,5.50256,4.21664,3.94703,0.000582181,0.000582181,0.000582181
6,399.359,4.89621,3.76582,3.5857,0,0,0,0,5.48296,4.17991,3.92214,0.000691867,0.000691867,0.000691867
7,462.467,4.56873,3.62898,3.39255,0,0,0,0,5.52408,4.21482,3.9854,0.000798459,0.000798459,0.000798459
8,526.949,4.44923,3.49584,3.28191,0,0,0,0,5.60431,4.3153,4.13174,0.000901958,0.000901958,0.000901958
9,593.303,4.31386,3.31366,3.00152,0,0,0,0,5.60762,4.33465,4.15642,0.00100236,0.00100236,0.00100236
10,662.213,4.28063,3.246,2.96587,0,0,0,0,5.54461,7.545,3.92292,0.00109967,0.00109967,0.00109967
11,725.737,4.19254,3.16698,2.83626,0,0,0,0,5.54262,6.25761,4.04058,0.00109531,0.00109531,0.00109531
12,795.485,4.22754,3.05471,2.77348,0,0,0,0,5.05036,13.5808,3.61516,0.00107984,0.00107984,0.00107984
13,864.659,4.13165,3.01624,2.61509,0.50109,0.00948,0.00045,8e-05,4.12779,4.61263,2.9683,0.00106437,0.00106437,0.00106437
14,926.585,4.14489,3.10351,2.74301,0.00186,0.01458,0.00106,0.00019,4.15456,3.52695,3.06846,0.00104891,0.00104891,0.00104891
15,990.074,4.07771,2.93779,2.58147,0.00228,0.01578,0.00129,0.00025,4.12212,3.44199,3.04288,0.00103344,0.00103344,0.00103344
16,1053.91,4.0066,2.87763,2.59536,0.50397,0.01552,0.00141,0.00021,3.78431,3.09043,2.85362,0.00101797,0.00101797,0.00101797
17,1121.63,4.00911,2.81826,2.47023,0.26401,0.02423,0.00657,0.00134,3.79635,3.17204,2.71403,0.0010025,0.0010025,0.0010025
18,1192.08,3.9823,2.75557,2.50295,0.26117,0.06487,0.00873,0.00158,3.63208,3.55549,2.4161,0.000987031,0.000987031,0.000987031
19,1259.44,3.93746,2.73281,2.37748,0.51772,0.1323,0.01046,0.00204,3.47724,3.89098,2.3685,0.000971562,0.000971562,0.000971562
20,1326.34,3.94396,2.71056,2.4525,0.01631,0.0963,0.00996,0.00215,3.56964,3.21653,2.35035,0.000956094,0.000956094,0.000956094
21,1389.96,3.79802,2.70117,2.40305,0.25666,0.02843,0.00326,0.00058,3.6832,4.09712,2.40448,0.000940625,0.000940625,0.000940625
22,1457.02,3.7951,2.63819,2.40713,0.00823,0.02478,0.00439,0.0009,3.79522,7.59279,2.41328,0.000925156,0.000925156,0.000925156
23,1520.3,3.86821,2.59115,2.41549,0.2665,0.08174,0.00801,0.00187,3.61951,4.0234,2.30305,0.000909688,0.000909688,0.000909688
24,1583.94,3.83178,2.54029,2.35691,0.26834,0.10754,0.00828,0.00204,3.41046,3.3056,2.27066,0.000894219,0.000894219,0.000894219
25,1647.36,3.90547,2.60211,2.36324,0.26572,0.1151,0.00808,0.00206,3.47516,3.80923,2.30104,0.00087875,0.00087875,0.00087875
26,1714.74,3.70197,2.58265,2.38865,0.02583,0.07078,0.01966,0.00491,3.65451,2.95516,2.34029,0.000863281,0.000863281,0.000863281
27,1783.88,3.83445,2.57267,2.32668,0.01868,0.11354,0.01432,0.00357,3.5543,2.89483,2.29066,0.000847813,0.000847813,0.000847813
28,1846.84,3.69691,2.44897,2.25023,0.01886,0.09723,0.01045,0.00261,3.50797,3.29765,2.25828,0.000832344,0.000832344,0.000832344
29,1909.39,3.74426,2.50919,2.32045,0.04207,0.17157,0.0302,0.00677,3.36573,2.94608,2.29123,0.000816875,0.000816875,0.000816875
30,1974.81,3.62518,2.47418,2.26139,0.77155,0.05063,0.02605,0.00659,3.52122,2.87157,2.28937,0.000801406,0.000801406,0.000801406
31,2042.68,3.70037,2.44427,2.28677,0.81834,0.0443,0.04433,0.01245,3.31058,3.58583,2.21781,0.000785938,0.000785938,0.000785938
32,2111.55,3.60092,2.38056,2.21493,0.82273,0.0538,0.05966,0.01661,3.6163,3.06372,2.27509,0.000770469,0.000770469,0.000770469
33,2182.46,3.61937,2.43384,2.21978,0.82842,0.03797,0.04625,0.0131,3.50372,2.83296,2.31709,0.000755,0.000755,0.000755
34,2250.46,3.61833,2.46227,2.21111,0.01324,0.02486,0.00841,0.00271,3.30499,2.95149,2.27704,0.000739531,0.000739531,0.000739531
35,2318.7,3.58002,2.43657,2.20816,0.02828,0.04944,0.02012,0.0047,3.33487,2.99848,2.25264,0.000724062,0.000724062,0.000724062
36,2392.25,3.59294,2.35586,2.21452,0.03334,0.05667,0.02702,0.006,3.69436,2.76948,2.3626,0.000708594,0.000708594,0.000708594
37,2464.15,3.57597,2.31538,2.16503,0.02335,0.04646,0.02075,0.00441,3.49462,2.77785,2.33217,0.000693125,0.000693125,0.000693125
38,2530.71,3.48095,2.41662,2.23343,0.04501,0.17357,0.03711,0.00956,3.55507,2.50421,2.30482,0.000677656,0.000677656,0.000677656
39,2597.19,3.5423,2.32731,2.14709,0.04073,0.19375,0.03974,0.01185,3.3208,2.92073,2.17488,0.000662188,0.000662188,0.000662188
40,2665.74,3.57918,2.26883,2.11905,0.03279,0.15854,0.02278,0.00576,3.89785,3.36696,2.3983,0.000646719,0.000646719,0.000646719
41,2741.06,3.46807,2.32536,2.09418,0.05342,0.2135,0.03785,0.00966,3.30597,2.77281,2.20426,0.00063125,0.00063125,0.00063125
42,2812.38,3.49307,2.32326,2.10376,0.08389,0.11263,0.07353,0.02127,3.5564,2.77691,2.37129,0.000615781,0.000615781,0.000615781
43,2881.07,3.4325,2.39974,2.24218,0.08322,0.17543,0.08858,0.02699,3.41826,2.73076,2.24852,0.000600313,0.000600313,0.000600313
44,2952.33,3.47759,2.28539,2.06773,0.05152,0.25145,0.07234,0.02181,3.16032,2.57721,2.1355,0.000584844,0.000584844,0.000584844
45,3023.09,3.48796,2.26159,2.07063,0.05375,0.252,0.06823,0.02037,3.14935,2.61032,2.14227,0.000569375,0.000569375,0.000569375
46,3092.41,3.41467,2.20038,2.04879,0.08103,0.3193,0.08092,0.02221,3.17447,2.55841,2.16671,0.000553906,0.000553906,0.000553906
47,3161.07,3.41019,2.23438,2.00681,0.09385,0.27357,0.11155,0.0289,3.36299,2.64758,2.21195,0.000538438,0.000538438,0.000538438
48,3228.01,3.38203,2.27109,2.06313,0.08631,0.21421,0.09721,0.02321,3.23879,2.6962,2.16423,0.000522969,0.000522969,0.000522969
49,3295.02,3.40803,2.22081,2.01514,0.03452,0.17409,0.04008,0.01111,3.15207,2.6764,2.09954,0.0005075,0.0005075,0.0005075
50,3363.53,3.43504,2.24162,2.0707,0.07278,0.23269,0.07292,0.02149,3.26933,2.5589,2.17402,0.000492031,0.000492031,0.000492031
51,3429.39,3.44021,2.23453,2.08614,0.07515,0.24424,0.07254,0.02306,3.12833,2.62439,2.12051,0.000476562,0.000476562,0.000476562
52,3493.88,3.39525,2.20325,2.01592,0.06332,0.28464,0.05622,0.01617,3.05567,2.74304,2.06337,0.000461094,0.000461094,0.000461094
53,3559.24,3.32303,2.23007,1.98426,0.09149,0.33149,0.08259,0.02546,3.01806,2.58242,2.10091,0.000445625,0.000445625,0.000445625
54,3624.59,3.39085,2.27337,2.06955,0.10288,0.29026,0.08141,0.02132,3.47718,2.51488,2.23646,0.000430156,0.000430156,0.000430156
55,3691.3,3.33341,2.23714,2.06024,0.09869,0.30749,0.08746,0.02237,3.42738,2.5513,2.19507,0.000414688,0.000414688,0.000414688
56,3756.77,3.37255,2.3167,2.0148,0.08032,0.3596,0.08982,0.02802,3.00384,2.62112,2.05058,0.000399219,0.000399219,0.000399219
57,3821.9,3.27782,2.19673,2.0213,0.09915,0.34013,0.09504,0.02866,3.2026,2.41198,2.16983,0.00038375,0.00038375,0.00038375
58,3887.19,3.37405,2.17139,2.03705,0.0759,0.28324,0.05842,0.01933,3.21466,2.49527,2.1846,0.000368281,0.000368281,0.000368281
59,3953.06,3.34047,2.18735,2.02389,0.07425,0.27275,0.06015,0.01773,3.2459,2.68932,2.14774,0.000352812,0.000352812,0.000352812
60,4021.36,3.31866,2.21054,2.02287,0.08777,0.35861,0.09052,0.02921,3.00185,2.53799,2.04887,0.000337344,0.000337344,0.000337344
61,4085.64,3.38336,2.20892,2.01717,0.09631,0.32636,0.097,0.02938,3.13968,2.46716,2.10529,0.000321875,0.000321875,0.000321875
62,4148.79,3.31073,2.23996,2.05823,0.09214,0.33558,0.08112,0.02794,3.02079,2.47907,2.03509,0.000306406,0.000306406,0.000306406
63,4219.45,3.21237,2.13701,1.99411,0.07575,0.30421,0.06151,0.02146,3.00625,2.53445,2.00991,0.000290937,0.000290937,0.000290937
64,4282.54,3.31015,2.21589,1.97894,0.08289,0.3258,0.06858,0.02275,3.01701,2.52638,2.03445,0.000275469,0.000275469,0.000275469
65,4346.86,3.35907,2.172,1.97368,0.08651,0.32545,0.06575,0.02324,3.01986,2.5496,2.02643,0.00026,0.00026,0.00026
66,4411.03,3.30425,2.23145,1.99558,0.094,0.35169,0.07923,0.02717,2.99421,2.57248,2.00057,0.000244531,0.000244531,0.000244531
67,4475.91,3.24563,2.17868,2.04108,0.10399,0.31971,0.0743,0.02713,2.9889,2.57341,2.01048,0.000229063,0.000229063,0.000229063
68,4540.15,3.29936,2.16757,1.91833,0.10769,0.31398,0.07312,0.0265,2.96673,2.56514,2.01508,0.000213594,0.000213594,0.000213594
69,4602.55,3.31776,2.15802,1.93486,0.10693,0.32285,0.07791,0.02798,2.94168,2.57779,2.01005,0.000198125,0.000198125,0.000198125
70,4670.68,3.2511,2.12056,1.87849,0.11029,0.3738,0.09018,0.03174,2.93329,2.54913,2.02919,0.000182656,0.000182656,0.000182656
71,4732.78,3.21182,2.2918,2.05662,0.11543,0.39385,0.09987,0.03583,2.96884,2.53296,2.06344,0.000167188,0.000167188,0.000167188
72,4793.22,3.18776,2.26473,2.08546,0.11849,0.39366,0.11617,0.03753,3.09895,2.49411,2.13817,0.000151719,0.000151719,0.000151719
73,4854.04,3.13276,2.23264,2.02988,0.1126,0.37765,0.11675,0.03615,3.0982,2.49452,2.13199,0.00013625,0.00013625,0.00013625
74,4914.15,3.11724,2.23288,2.07238,0.11294,0.36846,0.11355,0.03501,3.038,2.51908,2.10015,0.000120781,0.000120781,0.000120781
75,4973.8,3.0864,2.20671,2.06774,0.11095,0.35207,0.10888,0.0356,2.98105,2.5291,2.07971,0.000105312,0.000105312,0.000105312
76,5033.89,3.12199,2.25634,2.00131,0.11448,0.31067,0.11255,0.03742,2.93371,2.57303,2.05856,8.98437e-05,8.98437e-05,8.98437e-05
77,5094.25,3.12372,2.19425,2.06366,0.1133,0.32513,0.11243,0.039,2.94866,2.56533,2.06343,7.4375e-05,7.4375e-05,7.4375e-05
78,5154.44,3.11165,2.14766,1.99803,0.11117,0.3181,0.11389,0.03928,2.95014,2.57913,2.05357,5.89062e-05,5.89062e-05,5.89062e-05
