epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7434,5.40049,4.47269,4.15651,0,0,0,0,5.61264,4.40156,4.15568,0.0001125,0.0001125,0.0001125
2,129.434,5.34967,4.34018,4.10407,0,0,0,0,5.60626,4.3849,4.1416,0.000235149,0.000235149,0.000235149
3,191.023,5.43171,4.28034,4.0299,0,0,0,0,5.59007,4.34913,4.10478,0.000355322,0.000355322,0.000355322
4,255.485,5.23443,4.13864,3.90143,0,0,0,0,5.55009,4.28523,4.02476,0.000473021,0.000473021,0.000473021
5,318.994,5.28448,4.01932,3.82514,0,0,0,0,5.49787,4.21326,3.94034,0.000588245,0.000588245,0.000588245
6,380.749,4.88942,3.78488,3.58768,0,0,0,0,5.48634,4.18375,3.92717,0.000700994,0.000700994,0.000700994
7,442.473,4.54894,3.61395,3.38929,0,0,0,0,5.54135,4.23166,4.01447,0.000811267,0.000811267,0.000811267
8,503.762,4.45715,3.48001,3.28335,0,0,0,0,5.60764,4.31658,4.13862,0.000919066,0.000919066,0.000919066
9,566.179,4.30663,3.29321,2.9955,0,0,0,0,5.64641,4.37157,4.21897,0.00102439,0.00102439,0.00102439
10,631.613,4.29572,3.23963,2.94089,0,0,0,0,5.58033,10.2746,4.01794,0.00112724,0.00112724,0.00112724
11,695.227,4.18358,3.17147,2.83745,0,0,0,0,5.57616,11.6974,4.12233,0.00112625,0.00112625,0.00112625
12,759.283,4.28671,3.06688,2.78828,0.75477,0.01312,0.00206,0.00052,4.4004,4.06657,3.10208,0.00111388,0.00111388,0.00111388
13,823.493,4.09598,2.97868,2.57645,0.51075,0.02496,0.00284,0.00071,3.96943,3.21334,2.97586,0.0011015,0.0011015,0.0011015
14,885.089,4.14883,3.06079,2.70387,0.75127,0.00875,0.00055,0.00013,4.01129,4.74368,2.85572,0.00108913,0.00108913,0.00108913
15,948.4,4.06997,2.9511,2.58169,0.00493,0.03349,0.00296,0.00069,3.86061,4.22435,2.7841,0.00107675,0.00107675,0.00107675
16,1012.63,4.00155,2.86341,2.59201,0.26042,0.04812,0.00384,0.00068,3.62184,4.26535,2.58762,0.00106437,0.00106437,0.00106437
17,1075.95,3.97489,2.80998,2.452,0.51407,0.00948,0.00417,0.00074,3.71551,3.2434,2.6423,0.001052,0.001052,0.001052
18,1140.24,3.96748,2.74191,2.51984,0.26098,0.05332,0.00695,0.00173,3.63423,3.06541,2.65257,0.00103962,0.00103962,0.00103962
19,1205,3.93528,2.72504,2.40761,0.26564,0.06728,0.01069,0.00259,3.5058,3.07692,2.49098,0.00102725,0.00102725,0.00102725
20,1270.11,4.00591,2.67197,2.4748,0.26878,0.09822,0.01091,0.00203,3.57194,2.93517,2.46833,0.00101488,0.00101488,0.00101488
21,1333.48,3.79927,2.6618,2.40728,0.01651,0.03788,0.01092,0.00251,3.60922,3.57378,2.40159,0.0010025,0.0010025,0.0010025
22,1397.88,3.82348,2.63672,2.40206,0,0,0,0,3.61945,4.20789,2.45433,0.000990125,0.000990125,0.000990125
23,1460.78,3.85157,2.54882,2.38929,0.00648,0.06009,0.00361,0.00093,3.64585,2.97886,2.31466,0.00097775,0.00097775,0.00097775
24,1526.37,3.7952,2.47931,2.33783,0.02679,0.06261,0.01785,0.00439,3.83096,3.617,2.31175,0.000965375,0.000965375,0.000965375
25,1589.6,3.87534,2.57548,2.33731,0,0,0,0,3.89325,6.02415,2.30135,0.000953,0.000953,0.000953
26,1653.84,3.68493,2.59378,2.37835,0.01648,0.02575,0.01278,0.00317,3.7351,3.46256,2.40858,0.000940625,0.000940625,0.000940625
27,1719.89,3.84924,2.59813,2.31812,0.03666,0.14627,0.02416,0.00496,3.7219,2.81748,2.35267,0.00092825,0.00092825,0.00092825
28,1782.65,3.69757,2.47864,2.20632,0.01008,0.00729,0.00523,0.00186,3.48011,4.61848,2.29292,0.000915875,0.000915875,0.000915875
29,1846.92,3.70694,2.51476,2.28251,0.0074,0.00583,0.00271,0.00078,3.40636,3.87577,2.30377,0.0009035,0.0009035,0.0009035
30,1912.6,3.60854,2.46816,2.2378,0.03932,0.16934,0.02738,0.00599,3.62723,3.14278,2.34242,0.000891125,0.000891125,0.000891125
31,1975.24,3.65736,2.42078,2.25021,0.03164,0.16649,0.02268,0.00506,3.47979,3.76306,2.40971,0.00087875,0.00087875,0.00087875
32,2037.44,3.56268,2.36345,2.17996,0.01599,0.08774,0.01106,0.00272,3.62576,2.89495,2.43536,0.000866375,0.000866375,0.000866375
33,2100.85,3.63304,2.42203,2.19787,0.01492,0.01357,0.00851,0.00103,3.57221,3.21367,2.45666,0.000854,0.000854,0.000854
34,2164.04,3.55649,2.42542,2.17392,0.04964,0.1693,0.04028,0.01296,3.48168,3.38684,2.27465,0.000841625,0.000841625,0.000841625
35,2225.77,3.55849,2.44585,2.2232,0.07102,0.26647,0.04875,0.01525,3.25126,2.94878,2.17945,0.00082925,0.00082925,0.00082925
36,2289.27,3.5803,2.36766,2.19095,0.02908,0.16014,0.02685,0.00799,3.6285,2.61505,2.48107,0.000816875,0.000816875,0.000816875
37,2351.68,3.54131,2.28896,2.12391,0.02,0.09603,0.01516,0.00357,3.85876,2.74656,2.64557,0.0008045,0.0008045,0.0008045
38,2413.19,3.43383,2.4015,2.20946,0.04752,0.22013,0.04921,0.01431,3.58784,2.56959,2.32554,0.000792125,0.000792125,0.000792125
39,2474.46,3.49962,2.31084,2.11298,0.06326,0.26057,0.05654,0.01554,3.30911,2.65551,2.30501,0.00077975,0.00077975,0.00077975
40,2538.35,3.53635,2.29527,2.08536,0.05308,0.18321,0.03433,0.00941,3.21397,2.63024,2.29298,0.000767375,0.000767375,0.000767375
41,2600.48,3.44715,2.30806,2.05494,0.03857,0.13611,0.02913,0.00855,3.30205,2.54792,2.33099,0.000755,0.000755,0.000755
42,2664.37,3.49883,2.34972,2.06487,0.06936,0.16037,0.04761,0.01118,3.28426,2.72106,2.22723,0.000742625,0.000742625,0.000742625
43,2726.49,3.42936,2.39329,2.16594,0.04643,0.14767,0.03681,0.00952,3.23122,2.78052,2.18387,0.00073025,0.00073025,0.00073025
44,2790.74,3.45539,2.30507,2.02332,0.05024,0.27454,0.06065,0.01637,3.07901,2.68828,2.14923,0.000717875,0.000717875,0.000717875
45,2854.54,3.43308,2.26861,2.02072,0.05213,0.25577,0.05228,0.01468,3.11874,2.65546,2.21857,0.0007055,0.0007055,0.0007055
46,2920.61,3.37604,2.19987,2.0039,0.06823,0.30658,0.06322,0.01669,3.29686,2.55383,2.21854,0.000693125,0.000693125,0.000693125
47,2987.26,3.39456,2.22947,1.96732,0.28134,0.12741,0.03704,0.00829,3.27576,2.7435,2.17207,0.00068075,0.00068075,0.00068075
48,3051.45,3.33251,2.27189,2.00955,0.28261,0.13127,0.04414,0.01046,3.21507,2.75661,2.12708,0.000668375,0.000668375,0.000668375
49,3114.48,3.37167,2.20701,1.98466,0.08813,0.2987,0.09612,0.02882,2.98444,2.64132,2.01056,0.000656,0.000656,0.000656
50,3180.05,3.4027,2.24686,2.03388,0.06997,0.26848,0.05727,0.01887,3.0166,2.55596,2.16757,0.000643625,0.000643625,0.000643625
51,3241.95,3.39683,2.21576,2.04418,0.0845,0.30988,0.07054,0.02418,2.97136,2.50793,2.15392,0.00063125,0.00063125,0.00063125
52,3304.61,3.34163,2.16817,1.97219,0.08653,0.3273,0.07411,0.02438,3.00253,2.48885,2.14352,0.000618875,0.000618875,0.000618875
53,3367.63,3.28289,2.20357,1.97857,0.09127,0.33838,0.07788,0.02419,2.98782,2.52177,2.16873,0.0006065,0.0006065,0.0006065
54,3430.64,3.34892,2.27616,2.0138,0.11144,0.36711,0.09204,0.02901,3.07845,2.47051,2.12676,0.000594125,0.000594125,0.000594125
55,3496.11,3.28267,2.23062,2.01517,0.11726,0.35561,0.12121,0.03142,3.26197,2.46486,2.14441,0.00058175,0.00058175,0.00058175
56,3561.53,3.33727,2.28027,1.96183,0.12698,0.32853,0.13841,0.0436,2.94661,2.53159,2.00691,0.000569375,0.000569375,0.000569375
57,3624.36,3.22926,2.18612,1.95698,0.07638,0.29971,0.07159,0.02286,3.06258,2.43732,2.17487,0.000557,0.000557,0.000557
58,3687.82,3.32587,2.15596,1.99466,0.0867,0.31182,0.09204,0.0283,3.11718,2.57266,2.08421,0.000544625,0.000544625,0.000544625
59,3750.25,3.31891,2.18267,1.95805,0.13906,0.18852,0.08828,0.02638,3.39704,2.83116,2.12883,0.00053225,0.00053225,0.00053225
60,3816.16,3.31554,2.20869,1.95787,0.10799,0.26892,0.13293,0.04633,2.91801,2.55467,1.93171,0.000519875,0.000519875,0.000519875
61,3878.48,3.32076,2.18612,1.94636,0.10774,0.35463,0.12096,0.04065,2.94483,2.48469,1.99055,0.0005075,0.0005075,0.0005075
62,3938.83,3.24846,2.23001,1.98968,0.07291,0.29659,0.06656,0.02334,2.9668,2.51882,2.0304,0.000495125,0.000495125,0.000495125
63,4005.37,3.16617,2.13039,1.93927,0.06465,0.29011,0.06435,0.02139,2.97727,2.49129,2.05491,0.00048275,0.00048275,0.00048275
64,4066.62,3.26305,2.16259,1.94361,0.10758,0.31933,0.12427,0.04048,2.95901,2.52266,2.03245,0.000470375,0.000470375,0.000470375
65,4129.59,3.31744,2.15882,1.93744,0.10677,0.33081,0.1205,0.04515,2.94511,2.51936,2.01015,0.000458,0.000458,0.000458
66,4191.82,3.24787,2.21345,1.94937,0.11513,0.32952,0.12179,0.05099,2.95219,2.41057,2.03727,0.000445625,0.000445625,0.000445625
67,4256.98,3.18564,2.20923,2.00254,0.11532,0.31849,0.12513,0.05203,2.93878,2.48125,1.96591,0.00043325,0.00043325,0.00043325
68,4320.05,3.23063,2.17751,1.86089,0.09827,0.29436,0.10139,0.03756,2.98021,2.54853,1.96142,0.000420875,0.000420875,0.000420875
69,4380.9,3.26153,2.15272,1.89117,0.10864,0.34813,0.104,0.03609,2.9439,2.55286,1.95844,0.0004085,0.0004085,0.0004085
70,4446.88,3.18564,2.09506,1.83224,0.10604,0.35929,0.09479,0.03132,2.91673,2.48904,2.00331,0.000396125,0.000396125,0.000396125
71,4507.78,3.17972,2.12836,1.94349,0.10352,0.30796,0.08867,0.03282,2.9387,2.50729,2.01848,0.00038375,0.00038375,0.00038375
72,4568.98,3.16617,2.12887,1.90846,0.1469,0.22819,0.13849,0.04971,2.90671,2.51602,2.00038,0.000371375,0.000371375,0.000371375
73,4630.51,3.19434,2.2631,1.96549,0.17359,0.2906,0.18701,0.05307,2.88626,2.4048,2.01521,0.000359,0.000359,0.000359
74,4692.5,3.21844,2.18035,1.92099,0.10409,0.34656,0.10364,0.03106,3.0031,2.34695,2.14829,0.000346625,0.000346625,0.000346625
75,4758.26,3.14472,2.20311,1.98425,0.12436,0.37986,0.12852,0.04293,2.84162,2.43482,2.03705,0.00033425,0.00033425,0.00033425
76,4824.59,3.15779,2.14491,1.89716,0.12302,0.28628,0.12461,0.03888,2.8935,2.58114,1.98223,0.000321875,0.000321875,0.000321875
